 ;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;Mots que je pourrai ajouter;;
553. ;lézard 2 ;°sÓlV̀ ;ì-ʃwáàlə̀ / bìʃwáàlə̀;;swâ / ìswâ ;ʃwə̀l / bèʃwə̀l ; ;ʃwàlə́ / mìʃwàlə́; ; ; ; ; ; ; ;;;;
554. ;liane ;°lɔ́ŋ ;ǹ-lúòŋ / mìnlúòŋ ~ ǹlwɔ̄ŋ / mìnlwɔ̄ŋ;;lóŋ / mìlóŋ ; ;lóó / mìlóó ; ;lɔ̄ɔ̄ŋ;n-lwɔŋ / minlwɔŋ ;; ; ; ; ;;;;
555. ;liane sp ;°síl(á) ;;n-sɛ́lɔ́ / minsɛ́lɔ́;ʃjál / mìʃjál ; ; ;sál / mìsál ; ; ;sjɛ́l; ; ; ; ;gyeli : 'plant with thorns';;;
556. ;lime ;°ɟÒ ;ǹ-yù / mìnyù;; ; ;jʊ̀ʊ̀ / bìjʊ̀ʊ̀ ; ;jɔ̀ ; ;jʊ̀ ; ; ; ; ;;;;
557. ;limite, frontière ;°(N-)ɟè ;ŋ̀-ɡì / mìŋɡì;;ɟ̥èbàl / ìɟ̥èbâl;nɟî (fàm) / mònɟî mó fàm ;n-ɟɩ̀ / mìnɟɩ̀;n-ɟí / mìnɟí ; ; ;n-ɟɩ̀ ; ;*dɩ̀dò; ; ;gyeli : frontière entre deux pays;;;
558. ;lit ;°ɟɔ̀ŋV́;ì-ɡwɔ̌ŋ / bìɡwɔ̌ŋ;dyɔ̰̀ɔ̰́ / bedyɔ̰̀ɔ̰́;ɡòŋ / ìɡòŋ ;ɟwòŋ ;ɟòó / bìɟòó ;ɡwòŋə́ / ìɡwòŋə́;ɡwɔ̀ɔ̄ŋ;ɟɥɔŋ ;ɟòó ; ; ; ; ;;;;
559. ;loin ;°ɟàV̀ ;ɟùò;;ɛ̀-ɟàò / mɛ̀ɟàò ;ɟà ;ɟàà / ɟàà ; ; ; ;ɟàà ; ; ; ; ;;;;
560. ;lourd ;°dílɔ̀ ;dzìlə̀;jìlɔ ;ɛ̀-dîl / mɛ̀dîl ; ;è-dìlè ;ɟìlə̀ ;dìláà ; ;lè-dìlò ;mə́-dzílə̀;*dìtò ; ; ;;;;
561. ;loutre ;°bɔ̀ŋ ;;le-bâ̰ / mabâ̰;ɛ̀-bòŋ ; ;è-bɔ̀ɔ̀ / mèbɔ̀ɔ̀;bàŋ / mə̀bàŋ; ; ;lè-bɔ̀ɔ̀; ; ; ;°-bànɡù ;;;;
562. ;lune ;°(N-)ɡɔ̀ndÌ ;ŋɡwàndə̀ / bə̀ŋɡwàndə̀;ngɔ̀ndɛ̀ / bangɔ̀ndɛ̀;n-ɡɔ̀n / mìnɡɔ̀n ;nkùnd ;nɡɔ̀n / ònɡɔ̀n;nkwònd / ònkwònd ;nkɔ̀ndì;nɡwɛn / bɔnɡwɛn ; ;ǹ-kwɛ̀ndì;*ɡòndè ; ; ;;;;
563. ;mâcher ;°ɲámbà ;ɲámbə́lə̀;kámbɔ ;ɛ̀-ɲâb ; ;è-ɲâm ; ;à-ɲāmbɔ̄ ; ; ; ; ; ; ;;;;
564. ;machette 1 ;°kuáTá ;;n-kwálá / minkwálá;kɥɛ́tɛ́ / mìkɥɛ́tɛ́ ; ; ; ;nkwālā ;n-kɥala / minkɥala ; ;kjə́rə́ / mìkjə́rə́; ; ; ;;;;
565. ;machette 2 ;°pà ;pà / màpà;;pà (súká) / ìpà súká ;fà / bə̀fà ;pà / mèpà ;fà / mə̀fà; ; ;pà ; ;*pánɡà ; ; ;;;;
566. ;mâchoire ;°bɔ́nɡV ;;;bɔ́ɡ / mɛ̀bɔ́ɡ ;bə́nɡô / bə̀bə́nɡô ;bɔ́ŋ / mèmpɔ́ŋ; ; ; ; ; ; ; ; ;;;;
567. ;maigre ;°kàs(ì) ;káà (maigrir);kásɔ ;ɛ̀-kàs / mìkɛ̀s;kâz ;mì-kɛ̂h;káás ; ; ; ; ; ; ; ;;;;
568. ;main, bras ;°bɔ́(Ò) ;m̀-bwɔ́ɔ̀ / mìmbwɔ́ɔ̀;m-bɔ̂ / mabɔ̂;mbɔ̂ / mɛ̀mbɔ̂ ;m-bwó / mò-bwó ;m-bô / mèbô ;m-bwô / mə̀bwô;m-bɔ̂ ;m-bwɔ / mambwɔ ;m-bô ;m̀-búɔ̀ / mə̀mbúɔ̀;*bókò ; ; ;;;;
569. ;maïs ;°(N-)bV̀sà ;;;b̥ìsà / mɛ̀b̥ìsà ; ;m-pìhà ; ;m-pùzà ;m-pur / mimpur ; ; ; ; ; ;;;;
570. ;maison ;°ɟáb(ɔ) ;ŋ̀-ɡwɔ̄ / mìŋɡwɔ̄;ndáwɔ̀ / mandáwɔ̀;n-ɟáw / mìnɟáw ;nɟáb / mènɟáb ; ;n-ɟáw / mìnɟáw ;n-ɟɔ̄ɔ̄;ndʰoo / mandʰo ; ;ǹ-ɟə́ / bìŋɟə́; ;*dábò (ACD); ;;;;
571. ;malade ;°bɛ́lÌ ;;;m-bêl / mìmbêl ; ;m-bêl / mìmbêl ;m-bə̂l / mìmbə̂l;m-bɛ̀lī; ;m-bêl ; ; ; ; ;;;;
572. ;maladie ;°kwáV ;;;ɛ̀-kpàj / mɛ̀kpàj ; ;è-kpàà / mèkpàà ; ; ; ;lè-kwàà ; ; ; ; ;Possible de faire un cognat avec swo et gyeli;;;
573. ;mâle ;°ɟóm(V̀) ;ŋ̀-ɡúm / bə̀ɡúm;;n-ɡómtà / mìnɡómítà ;nɟúm / mènɟúm ;n-ɟʊ́m / mìnɟʊ́m;nɡûm / nɡûm ; ; ; ; ;*dʊ́mè; ; ;;;;
574. ;mamba vert ;°lɔ́ŋ(à) ;ì-lɔ̂ŋ / bìlɔ̂ŋ;lá̰ / belá̰;lɔ́ɔ̀ / ìlɔ́ɔ̀ ;lwâŋ / bèlwâŋ ; ;lwô / ìlwô ;lɔ̂ŋ; ; ; ; ; ; ;;;;
575. ;manche 1 ;°só(w)á ;;;swáw / ìswáw ;ʃwá ;sʊ́á / mìsʊ́á ;ʃúwá / ìʃúwá ; ; ; ; ; ; ; ;;;;
576. ;manche 2 ;°kV̀ndV̀ ;;; ; ; ;kànd / mìkànd ;kèndɔ̀ ;n-kindɛ / minkindɛ ; ; ; ; ; ;;;;
577. ;mandrill ;°sɛ̀Ká ;ì-káʔ / bìkáʔ;sɛ́Kɛ̀  / besɛ́Kɛ̀ ;ʃjàá / ìʃjàá ; ;sjɛ̌ʔ / mìsjɛ̌ʔ; ; ; ;sjɛ̀ʔɛ́;sáʔá / bìsáʔá ;(*còkó) ; ;°-cɛ̀kɛ́;gyeli : hononyme avec 'foie' (y inclus le genre);;;
578. ;manger ;°dè(À) ;dè;dè;ɛ̀-dɛ̀;dò ;è-dè ;də̀ ;à-ɗè ;di ;lè-dè ;dì ;*dɩ́ ; ; ;;;;
579. ;mangouste ;°(N-)bɔ̀KV́ ;;;b̥ɔ̌k / bɛ̀b̥ɔ̌k ; ;mpɔ̌ʔ / òmpɔ̌ʔ; ; ; ;mpɔ̀ʔɔ́; ; ; ; ;;;;
580. ;mangue ;°ɲɔ́Kà ;ì-ɲwáʔ / bìɲwáʔ;;ɲâ / mɛ̀ɲâ ;nwâɡ / mònwâɡ ;ɲwâʔ / mèɲwâʔ ;ɲwáɡ / ìɲwáɡ ;ɲɔ̄ɡɔ̀ ; ;ɲwɔ̂ʔ; ; ; ; ;;;;
581. ;manioc 1 ;°kúmà ;;;kúmà / mɛ̀kúmà ;kúmà / mòkúma ;è-kúmà / mèkúmà ; ; ; ;lè-kúmà ; ; ; ; ;;;;
582. ;manioc 2 ;°ɡóndV̀ ;;;ɡwêd ;nɡwàndò ; ; ; ;ŋ-wandɛ / miŋwandɛ; ; ; ; ; ;;;;
583. ;marché (emprunt);;mákíɾì;màkítì; ; ;mákîr / òmákîr ; ; ;makis ;mákîr ; ; ; ; ;;;;
584. ;marcher 1 ;°ɟàndÀ ;ɟàndè;kɛ̀ndɛ̀ / bekɛ̀ndɛ̀;ɛ̀-ɟàd ;ɟând ;è-ɟàn ;ɟàànd ;à-ɟàndɔ̀ ; ; ; ;*jènd ; ; ;;;;
585. ;marcher 2 ;°kV́nɡà ;;; ;kwîɡ ;è-kœ̂ʔ ; ;à-kɛ̀ ;kɛ (bicɛn);lè-kœ̂ʔ ;kúɡjà ; ; ; ;;;;
586. ;mare ;°bɔ́nɟV̀ ;;;bóz / b̥óz ; ;béh / mèmpéh ; ;ɓɔ̄nɟī; ;bœ́hœ́ ; ; ;*jánjà (A) ; ;;;;
587. ;marécage ;°(N-)ɟàmbà ;ì-zàmbə̀ / bìzàmbə̀;nzàmbɔ̀ / benzàmbɔ̀;zàb / ìzàb ;ncàmb / bèncàmb ;nzàm / bìnzàm ;zàmb / mə̀zàmb; ;nzambɔ / binzambɔ ;nsàm ; ; ; ; ;;;;
588. ;mari ;°ɟómÌ ;ŋ̀-ɡúm / bə̀ɡúm;;n-ɡòm / mìnɡòm ;n-ɟûm / bòɟûm ;n-ɟʊ̂m / òɟʊ̂m;nɡûm / ònɡûm ;n-ɡwōmì ;n-ɟum / bɔnɟum ;nɟʊ̂m; ;*dʊ́mè; ; ;;;;
589. ;mariage ;°bâ ;báà / màbáà;m-bánâ / ?;ɛ-b̥a ;è-bâ / mòbâ ;è-bâ / mèbâ ;bâ / mə̀bâ;à-ɓâ ;ba / maba ;lè-bâ ; ; ;*bádà (ABCR) ; ;;;;
590. ;marmite ;°(N-)bèé ;;;b̥ě / mɛ̀b̥ě;mpê / mə̀mpê ;mpɩ̌ / mèmpɩ̌;mpèé / mə̀mpèé;mpě ;mbǐ / mambǐ ;mpɩ̌ ;m̀-pí / mə̀mpí;*bɩ̀já; ; ;;;;
591. ;marmite sp ;°bɔ̀l(à) ;;;bwà (mɛ́ɲùk) / b̥wà mɛ́ɲùk ; ;è-mpò / mèmpò ;mpwò / mə̀mpwò;à-mpɔ̀ ;m-pal / mimpal ; ; ; ; ; ;;;;
592. ;marteau ;°(N-)ɟònɟÌ ;;; ;ncùùɟ ; ;ʒùùnz / mə̀ʒùùnz; ;nzundi / bɔnzundi ; ; ;*jʊ̀ndò ; ; ;gyeli = emprunt de l'anglais;;;
593. ;matin ;°mánÌ ;m̀-mánā / mìmánā;mɛ́nɔ́ / bemɛ́nɔ́; ;mán ;mɛ́n / mìmɛ́n;mán / mìmán ; ;mana / bimana ;mjɛ́n;mɛ̀-níjɛ̀; ; ; ;;;;
594. ;mauvais ;°bébà ;;;ɛ̀-bjôw / mɛ̀bjôw ;bâb ;è-bébè ;bôw ;ɓēáā ;biɔ ;lè-bjêb ;bíwə̀ ; ;*bɩ̀ɩb (ABCH); ;;;;
595. ;mauvais, laid ;°béÀ ;búù;bíwɔ̀;m-bê / mìmbéè ; ;m-bɩ̂ / òbɩ̂ ;m-bɛ̀ ;m-bê ;biɔ ;m-bɩ̂ ;m̀-bì  ; ; ; ;;;;
596. ;méchant ;°ɲàn ;;;ɛ̀-ɲàn / mɛ̀ɲàn ; ;è-ɲàn ;ɲàn ; ; ;lè-ɲàn ; ; ; ; ;;;;
597. ;médicament ;°mÌTú ;m̀-mìɾí / mìmmìɾí;;mét / mìmét ;mìd / mèmìd ;mǐr / mìmǐr ;mììdú / mìmììdú ; ; ;mwɩ̌r; ; ; ; ;;;;
598. ;mélanger ;°púnɟàlà ;;;ɛ̀-pûzà ; ;è-pûhlà ;fə̀là; ; ;lè-púhlâ ; ; ;*búnɡ (ABCNR) ; ;;;;
599. ;mensonge ;°ɟáŋ ;;; ;ɟáŋ / bèɟáŋ ; ;ɟó / ìɟó;n-ɟāàŋ ; ; ; ; ; ; ;Possible de faire un cognat avec swo et gyeli ?;;;
600. ;menton 1 ;°dɛ́s(V̀) ;;;d-ɛ̂s / mɛ̂s ;d-ɔ̂z / mɔ̂z ;d-ɛ̂h / mɛ̂h; ;ɗ-āɛ̀ ; ;d-ɛ̂h; ;*dèdù ?  ; ; ;;;;
601. ;menton 2 ;°(N-)ɟɛ́lV̀;;; ; ; ;ɟáʃwôl / ìɟáʃwôl ; ;ɟansɛl / biɟansɛl ; ;ǹ-ʒɛ́lì;*jèdù ; ; ;;;;
602. ;mépriser ;°bV̂s ;;; ;bjèz ;è-pjêh ; ; ; ;lè-bwêh ; ; ; ; ;;;;
603. ;mer ;°âŋ ;m-âŋ;m-â̰; ;m-âŋ ;m-âŋ  ;m-âŋ ;m-āāŋ ;m-aŋ ;m-âŋ ; ; ; ; ;;;;
604. ;mère ;°ɲànɡÓ ;ɲàŋɡó / bə̀ɲàŋɡó;nyâ̰ / banyâ̰;ɲɛ̌ɡ / bɛ̀ɲɛ̌ɡ ;ɲɔ̀ɔ̀nɡó / bòɲɔ̀ɔ̀nɡó;ɲɔ̌ɔ̀ / òɲɔ̌ɔ̀ ;ɲònɡû / òɲònɡû ;ɲànɡɔ̄ ;niuŋ / bɔniuŋ ;ɲɔ̌ŋ;ɲô  / bə̀ɲô; ;*nyànɡó (AC); ;;;;
605. ;mesurer ;°ɟòKÌ ;yèɡè;;ɛ̀-ɡɥek ;jììɡ ;è-ɟø̀ʔ;jììɡà ; ;jiəˤ ;lè-ɟwɩ̀ʔ; ; ; ; ;;;;
606. ;mettre, poser ;°ɡwâ ;;;ɛ̀-wâ ;wá ;è-ɡbâ ;wâ ;à-wâ ; ;lè-ɡwâ ; ; ; ; ;;;;
607. ;miel 1 ;°ɡwOKV ;;;ì-ɡò / mɛ̀ɡò ; ;è-ɡbɔ́ʔ / mèɡbɔ́ʔ; ; ; ;lè-ɡwɔ́ʔɔ́; ; ; ; ;;;;
608. ;miel 2 ;°kɔ̀nV̀ ;;n-kwànò / minkwànò; ;kwàn ;kwàn / mìkwàn ; ; ;n-kwana / minkwana ;kwɔ̀n;kwànə̀ / bìkwànə̀; ; ; ;;;;
609. ;militaire ;°(N-)ɟìmbà ;ì-zə̀mbè / bìzə̀mbè;zìmbà / bazìmbà;zùmà / bɛ̀zùmà ;ncìmbè / bèncìmbè ;nzìmà / bìnzìmà ; ; ; ;nsìmà ; ; ; ; ;;;;
610. ;mille-pattes ;°(N-)ɡɔ̀jI ;ŋɡwéèʔ / bə̀ɡwéèʔ;ngwɛ̰̌ / bangwɛ̰̌;g̥ǒj / bɛ̀g̥ǒj;nkwèɲə̀ / bə̀nkwèɲə̀ ; ;nkwɛ̀ɲî / ònkwɛ̀ɲî;nkɔ̀ɛ̄; ;nkœ̀œ́ ; ; ; ; ;;;;
611. ;mois ;°(N-)ɡɔ́ndÌ ;ŋɡwàndə̀ / bə̀ŋɡwàndə̀;ngɔ̀ndɛ̀ / bangɔ̀ndɛ̀;nɡɔ̀n / bɛ̀nɡɔ̀n ;nkùùnd / mènkùùnd ;nɡɔ̀n / ònɡɔ̀n; ;nkɔ̀ndì;nɡwɛn / bɔnɡwɛn ;nɡɔ̀n;ǹ-kwɛ́ndì / bə̀nkwɛ́ndì;*ɡòndè ; ; ;;;;
612. ;mollet ;°pómbÌ ;m̀-púmbū / mìmpúmbū;m-púmbú / mimpúmbú;pwób / mɛ̀pwób ;fúm ;pʊ́m / mèpʊ́m;fúúmbú / mə̀fúúmbú;pōmbī ;pumbi / mapumbi ; ; ; ; ; ;;;;
613. ;montagne, colline;°kénɡÒ ;;nkùlɛ́ / minkùlɛ́;ɛ̀-cék / mɛ̀cék ;lè-kóɡ / mòkóɡ ;è-cø̂ʔ / mècø̂ʔ; ;à-cēɡì ; ;lè-kɩ̂ʔ; ; ; ; ;;;;
614. ;monter 1 ;°béndà ;bə́ɾə̀;bédɔ; ;bâr ;è-bérè ; ;à-ɓèndɔ̀ ;birɛ ;lè-bjêr ; ; ; ; ;;;;
615. ;monter 2 ;°kààlà ;kàà;; ;kàbà ;è-kàlwò ; ;à-kàlɔ̀ɔ̀; ;lè-kàblò ; ; ; ; ;;;;
616. ;montrer ;°líàlà ;lə́ʔə̀lə̀;líbɛlɛ;ɛ̀-ljál ;lwô ;è-tɩ́è;lwô ; ; ;lè-ljéʔlô ;ljálà; ; ; ;;;;
617. ;morceau 1 ;°pÊs ;;píndyɔ́ / bepíndyɔ́;pês / ìpês ; ;pêh / bìpêh ; ; ; ;pêh ; ; ; ; ;;;;
618. ;morceau 2 ;°kílÌ ;;; ;cîl / mə̀cîl ;cîl / bìcîl ;kîl / ìkîl ;cīlì ; ; ; ; ; ; ;;;;
619. ;mordre 1 ;°lô ;;lúwɔ;ɛ̀-lóò ;lû ;è-lʊ̂ ; ;à-lô ;lu ;lè-lʊ̂ ; ; ; ; ;;;;
620. ;mordre 2 ;°kòKàlà ;kúʔə̀là;kwɛ̂lɛ;ɛ̀-kwàl ;kwɔ̀ɡə̀lə̀ ;è-kòʔlò ; ;à-kòɡɔ̀lɔ̀;kwəlˤɛ ;lè-kwòʔlò ;kwə̀ʔlá; ; ; ;gyeli : recip = kwáala, ici la racine revient;;;
621. ;mort (la) ;°sòjÈ ;ʃwìì;le-swî / maswî;ɛ̀-ʃjèè / mɛ̀ʃjèè ;é-ʃwì / mòʃwì ;è-swìè / mèswìè ;ʃwìj / mə̀ʃwìj;à-ʃòè ;sɥi ;lè-swɩ̀ɩ̀;ʃɥɪ̂ / mə̀ʃɥɪ̂; ; ; ;;;;
622. ;mort (un) ;°ɟɛ̀ ;ǹ-yélə̀ / bə̀yélə̀;yúlɛ̀ / bayúlɛ̀;n-ɡɥɛ̀ / mìnɡɥɛ̀ ; ;n-ɟwè / òɟwè ; ; ; ;n-ɟwè; ; ; ; ;;;;
623. ;mortier ;°bòKV̀ ;ì-bwɔ̀ʔ / bìbwɔ̀ʔ;búɔ̀ / bebúɔ̀;bwà / b̥wà ;bwɔ̀ɡ / mòmpwɔ̀ɡ ;bòʔò / mèmpòʔò ;bwàɡ / ìbwàɡ ; ;bwəˤ / bibwəˤ ;bwòʔ ; ; ; ; ;;;;
624. ;motte ;°búK(e) ;;;ɛ̀-bék (mɛ́ íbɔs) / mɛ̀békmɛ́íbɔs ;búɡ (bwàz); ; ; ;bvuəˤ / bibvuəˤ ;bûʔ ; ; ; ; ;;;;
625. ;mouche ;°(N-)ɟìŋ(Ò) ;ǹ-dzûŋ / bə̀ndzûŋ;ndzḭ̀ / bandzḭ̀;ɟ̥òŋ / bɛ̀ɟ̥òŋ ;ncùŋ / bòncùŋ ;ncwìì / òncwìì ;ncìncúŋ / ìncìncúŋ ;ncììŋ ;ndziuŋ / bɔndziuŋ ;ncìì ;ǹ-tsù / bə̀ntsù;*ɡìnɡì ; ; ;;;;
626. ;mouche sp ;°súnÁ ;ì-ʃúnə̀ / bìʃúnə̀;;sún / ìsún ; ; ;ʃúnə́ / ìʃúnə́;sūnɔ̄ ; ;swínô ; ; ; ; ;;;;
627. ;mouillé 1 ;°bònd ;m̀-bùɾáʔà / mìmbùɾáʔà;;bòn ; ;è-bòr ; ; ; ;lè-bœ̀r ; ; ; ; ;;;;
628. ;mouillé 2 ;°bɔ̀s(È) ;;; ;bwâz ; ;bwààs ;à-ɓɔ̀ɛ̀; ; ;bwɔ̀bwɔ́; ; ; ;;;;
629. ;mourir ;°ɟUV ;yì;;ɛ̀-ɡɥɛ̀ ;jò ;è-ɟwè ;jə̀ ;à-wì ;ju ;lè-ɟwè ;ɥì / wì ;*kú ; ; ;;;;
630. ;moustache;°sòKÍ ;;;sók / ísók ; ; ;ʃwìɡí / ìʃwìɡí ;ʃòɡī ; ;sʊ́ʔʊ́ ; ;*còkó ; ; ;;;;
631. ;moustique ;°kùŋ ;;;kùù / ìkùù ; ;kùù / bìkùù ; ;kùkūŋ ; ;kùù ; ; ;*ɡùnɡù (AC); ;;;;
632. ;mouton ;°(N-)dÈmbÈ  ;ǹ-túmbə̀ / mìntúmbə̀;;d̥ɛ̀bɛ̀ ;ntwèmbè / bèntwèmbè ;ntèmè / bìntèmè; ; ; ;ntèmè ; ; ; ; ;;;;
633. ;mur ;°pàmbÍ ;ì-pə̀pə̀mbè / bìpə̀pə̀mbè;pìmáá / bepìmáá;pǎp / ìpǎp ;fə̀fɛ̀m / bə̀fə̀fɛ̀m ;pǎb / bìpǎb ; ; ;pfimba / bipfimba ;pǎb ;pímbì / mìpímbì ; ; ; ;;;;
634. ;mûrir ;°tê ;té;;ɛ̀-tê ;té ;è-tɩ̂ ;tî ;à-tê ; ;lè-tɩ̂ ; ; ; ; ;;;;
635. ;murmures ;°ɲÍmbàlà ;;; ; ;mì-ɲìmlà ;ɲímbə̀là / mìɲímbə̀là; ; ;lè-ɲɩ́ɩ́lâ; ; ; ; ;;;;
636. ;nager ;°ɟɔ́Kà ;ɡwāʔ;dyúà;ɛ̀-ɡwâ ;jwâɡ ;è-ɟwâʔ ;ɡwááɡ ;à-ɡwɔ̄ɡɔ̀ ;ɟuaˤ ;lè-ɟwɔ̂ʔ;ɡwá ;*jóɡ ; ; ;;;;
637. ;naître ;°bíàl ;byálì;bwàlɛ;ɛ̀-bjêl ;bjêl ;è-bjɛ̂l;bjêl ; ;bial ; ; ;*bíàd ; ; ;;;;
638. ;natte ;°kàlà ;ì-kàlì / bìkàlì;kàlà / bekàlà; ;kàlà / bèkàlà ;kàlà / bìkàlà ;kə̀là / ìkə̀là;à-kà ;kàlà ; ; ;*ɡàdá ; ; ;;;;
639. ;neuf ;°bùlV́ ;vùwò;le-bvùá; ;è-bù ;è-bǔ ;ì-bùú; ;ri-bvua ;ɩ̀-bǔl;bvə̀lí; ;*bùdá (A) ; ;;;;
640. ;nez ;°dóKV̀ ;dū / màdū;d-úú / múú;d-ô / ìdô / mô;d-û / mû ;d-ʊ̂ / mʊ̂ ;ɟû / mə̀ɟû;ɗ-ô ;dwəˤ / bidwəˤ ;d-ʊ̂ ;dúɡú / bìdúɡú;*jʊ́dʊ̀ ; ; ;;;;
641. ;nid ;°dàKV̀ ;dáʔ / màdáʔ;d-ákɛ̀ / mákɛ̀;d-ɛ̀k / mɛ̀k;d-ɔ̀ɡ / mɔ̀ɡ ;d-ɔ̀ʔ / mɔ̀ʔ; ;ɗ-àɡɔ̀ ;dwəˤ / mwəˤ ;d-ɔ̀ʔ; ; ; ; ;;;;
642. ;noeud ;°bòŋ(á) ;bùŋə̄ / màbùŋə̄;; ; ;è-bʊ̀ / mèbʊ̀ ;bwòó / mə̀bòó; ;bwaŋ / mabwaŋ ;lè-bʊ̀á ; ; ; ; ;;;;
643. ;noir ;°ɟíndV̀ ;zə́ndə̀;; ; ;è-ɟwínè / mèɟwínè ;jíndə̀ ;wìndāā ; ;ɟwínɩ́ɩ́; ;*jídʊ̀ ; ; ;"gyeli : compare swo 'personne noire' ì-vyíndì ; également avec [vy]";;;
644. ;noix de kola ;°bèlÚ ;bè / màbè;le-bèlé / mabèlé;ɛ̀-bèl / mɛ̀bèl ;bòl / mə̀bòl ;è-bɩ́l / mèbɩ́l;bə̀lú / mə̀bə̀lú; ;bil / mabil ; ;bìlì ; ;*bɩ̀dú (ABC); ;;;;
645. ;noix de palme 1 ;°bànɡá ;;m-bàngá / mimbàngá; ;mbǎŋɟî / mbǎŋɟî ;m-bàá / mìmbàá ; ;bāāŋ ;m-banɡa (lendi) / mimbanɡa lendi ; ; ; ; ; ;gyeli : terme générique pour 'noix';;;
646. ;noix de palme 2 ;°bî ;ì-mbvì / bìmbvì;;(bùm) bî / b̥ùm mɛ̀b̥î ;mpí ; ;mpî / mə̀mpî; ; ; ; ; ;*bídà (ABCD); ;;;;
647. ;nom ;°ínà ;;j-ínɔ̀ / mínɔ̀;d-în / mîn ;d-ínò / mínò ;d-íè / míè ;ɟ-ínə̀ / mínə̀;d-īnɔ̀ ;dz-ina / mina ;dj-óò ;dzínə̀ / mə̀dzínə̀;*jínà ; ; ;;;;
648. ;nombril 1 ;°dɔ̂ŋ ;;;d-óò / móò ; ;d-óò / móò ; ;ɗ-ɔ̄ɔ̀ŋ; ; ; ; ; ; ;;;;
649. ;nombril 2 ;°tɔ́lÌ ;twólə̀ / màtwólə̀;le-tɔ́lɛ̀ / matɔ́lɛ̀; ;twôl / mòtwôl ; ;cwôl / mə̀cwôl; ;twɛl / bitwɛl ; ;twólì / bìtwólì ; ; ; ;;;;
650. ;nouer ;°bÒŋ(à) ;(sá) bùŋə̄;;ɛ̀-bwò ; ;è-bʊ̀ò ; ; ;bwaŋ ; ; ; ; ; ;;;;
651. ;nourriture 1 ;°(N-)ɟàmb ;;;ɲɛ̀b ; ; ;ɟ-áámb / máámb ; ; ;ɲâmlà ; ; ; ; ;;;;
652. ;nourriture 2 ;°dèb(Ù) ;ì-dúù / bìdúù;be-déwɔ̀; ;dòb / bèdòb ;è-dè / mèdè ;ì-də̂w;ɗēɔ̀ ;bi-diu ;mè-dè ; ;(*dɩ́); ; ;;;;
653. ;nouveau ;°ɟɔ́nV̀ ;;; ; ;ɟwân ;ɡúɡwân ; ;wana ;ɟwɔ̂n;wánìwánì ; ; ; ;Possible de faire un cognat avec swo et gyeli ?;;;
655. ;nouvelle 1 ;°(N-)bánɡla ;;;b̥áɡlà / mɛ̀b̥áɡlà ; ;mpáŋlà / mèmpáŋlà ; ; ; ;mpáŋlô ; ; ; ; ;;;;
654. ;nouvelle 2 ;°lɔ̂ŋ ;;pɔ́ / mapɔ́; ;lóóŋ / mòlóóŋ ;mì-lɔ́ɔ̀ ; ; ; ;lɔ́ɔ̀; ; ; ; ;"Possible de faire un cognat avec swo et gyeli ; gyeli alternative : mpàálé / mampàálé";;;
656. ;nuage ;°kúTV̀ ;ŋ̀-kfə́ɾə̀ / mìŋkfə́ɾə̀;nkfúdɛ́ / benkfúdɛ́;ì-ɡùd ;nkúd / mènkúd ;n-kûr / mìnkûr ;n-kúdú / mìnkúdú ; ; ;nkûr ; ; ;*kútɩ̀ (ADJ ) ; ;;;;
657. ;nuit 1 ;°pùm ;;;pùm / mìpùm ;fùm ;pùm / mìpùm ; ; ; ;pùm ; ; ; ; ;;;;
658. ;nuit 2 ;°bùlV ;ì-bvə̀lə́ / bìbvə̀lə́;bvùlɛ́ / bebvùlɛ́; ; ; ;bùlû / mə̀bùlû;bùlɔ̄ ;bvul / bibvul ; ;ɡvìlíjɛ̀ ; ; ; ;;;;
659. ;nuque ;°dɔ́lV̀ ;;; ;dwál ;d-wâl / mwâl ;ɟwáál / mə̀ɟwáál;ɗ-ɔ̄lɔ̄; ;dwɔ̂l; ; ; ; ;Possible de faire un cognat avec swo et gyeli;;;
660. ;obscurité ;°ɟíTúɡ ;;le-vídú / mavídú;ɛ̀-ɡútúk / mɛ̀ɡútúk ;è-jìdɛ́ ;è-ɟúrúú ;jídúɡú / ìjídúɡú ; ;zirəˤ / mazirəˤ ;lè-ɟúrʊ́ʊ́ ;zìrə́ ;*jíd ; ; ;;;;
661. ;odeur ;°nùmbá ;;;mɛ̀-nùb ; ;nùmó / mènùmó ; ; ; ;mè-nùmó ; ;*dùmbá ; ; ;Possible de faire un cognat avec swo et gyeli;;;
662. ;oeil ;°ís(Ù) ;dz-íì / míì;d-ísì / mísì;d-îs / mîs ;d-îz / mîz ;d-îh / mîh ;ɟ-ús / míʃ ;d-īì ;dz-ii / mii ;d-îh ;dz-ɪ̂ ;*jícò ; ; ;;;;
663. ;oeuf ;°ké ;ké / màké;le-kí / makí;ɛ̀-cé / mɛ̀cé ;è-ké / mòké ;è-cɩ́ / mècɩ́ ;ké / mə̀ké; ;ki / maki ;lè-kɩ́ ;kí / mə̀kí;*ɡɩ́ ; ; ;;;;
